activity_type,date_posted,year,activity_title,equipmend_used,indoor_outdoor,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_cadence,max_cadence,avg_pace,best_pace,elev_gain,elev_loss
running,01/07/2017,2017,Wooler Running,Brooks Running Trainers,outdoor,19.42,"3,052",04:18:57,156,171,4.8,148,248,13:20,07:12,"4,004","4,040"
running,29/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,3.47,364,30:57:00,127,155,2.1,168,181,08:55,06:36,187,177
running,28/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,4.12,425,31:22:00,139,160,2.7,172,183,07:37,06:34,185,214
running,25/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,5.42,561,40:33:00,144,161,3.1,176,182,07:29,06:39,197,194
running,24/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,6.5,694,48:16:00,149,166,3.5,173,182,07:26,06:36,338,333
running,22/06/2017,2017,Brougham Running,Brooks Running Trainers,outdoor,2.59,286,21:11,139,166,2.5,176,196,08:11,05:56,167,150
running,21/06/2017,2017,Brougham Running,Brooks Running Trainers,outdoor,3.11,315,23:31,139,159,2.5,176,188,07:33,06:18,148,171
running,20/06/2017,2017,Brougham Running,Brooks Running Trainers,outdoor,4.45,475,34:27:00,146,164,3,174,192,07:44,06:53,328,356
cycling,19/06/2017,2017,Brougham Cycling,Scott Road Bike,outdoor,2.44,155,10:16,--,--,0,--,--,14.3,24.2,118,114
running,18/06/2017,2017,Wooler Running,Brooks Running Trainers,outdoor,8.03,982,01:16:30,146,172,3,162,212,09:32,05:25,930,933
running,15/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,0.41,42,02:55.4,149,161,1.4,176,180,07:03,06:17,21,--
running,15/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,6.11,609,42:32:00,150,180,3.3,173,190,06:58,05:37,255,285
cycling,15/06/2017,2017,Indoor cycling,Spinner Bike,indoor,0,159,15:30,120,147,1.6,122,125,--,--,--,--
cycling,14/06/2017,2017,Indoor cycling,Spinner Bike,indoor,7.46,242,20:50,128,154,2.2,122,122,21.5,--,--,--
cycling,13/06/2017,2017,Indoor cycling,Spinner Bike,indoor,6.46,242,21:12,127,149,2.1,122,138,18.3,--,--,--
running,12/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,6.18,652,45:53:00,148,165,3.4,172,180,07:25,06:46,194,170
running,11/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,4.12,434,29:47:00,150,169,3.2,172,182,07:13,06:22,218,217
running,10/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,8.45,934,01:03:40,154,175,4.1,174,186,07:32,06:02,410,409
running,08/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,4.7,411,33:33:00,141,182,2.5,179,217,07:08,04:32,114,141
cycling,08/06/2017,2017,Indoor cycling,Spinner Bike,indoor,6.21,112,17:19,100,142,1.3,121,121,21.5,--,--,--
cycling,05/06/2017,2017,Indoor cycling,Spinner Bike,indoor,9.32,270,25:08:00,125,157,2.1,122,123,22.3,--,--,--
running,04/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,5.54,582,41:13:00,153,171,3.5,175,184,07:26,06:23,234,222
running,01/06/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,4.51,469,35:19:00,149,175,3.2,173,247,07:50,02:45,165,170
running,31/05/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,6.02,549,47:39:00,140,155,2.6,171,222,07:55,07:01,251,250
cycling,30/05/2017,2017,Indoor cycling,Spinner Bike,indoor,15,198,25:04:00,112,133,1.6,122,122,35.9,--,--,--
running,28/05/2017,2017,Earle Running,Brooks Running Trainers,outdoor,14.25,"2,248",03:03:19,149,173,3.5,152,234,12:52,07:28,"3,292","3,282"
running,25/05/2017,2017,Berwick-upon-Tweed Running,Brooks Running Trainers,outdoor,6.71,737,50:48:00,151,169,3.7,173,182,07:34,06:25,387,413
running,24/05/2017,2017,Horncliffe Running,Brooks Running Trainers,outdoor,5.64,607,41:36:00,153,174,3.6,172,180,07:23,06:41,194,182
